numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z
3,[ 3 47  3],[0.140625 2.203125 0.140625],[0 0 0],[0. 0. 0.],[2081  936 1517],[-0.01757812 -0.68945312  0.03125   ],[0.13867188 2.09375    0.13671875],[0. 0. 0.]
2,[ 3 47],[0.140625 2.203125],[0 0],[0. 0.],[1979  984],[-0.0390625 -0.7578125],[0.13476562 2.06835938],[0. 0.]
3,[ 3 47  3],[0.140625 2.203125 0.140625],[0 0 0],[0. 0. 0.],[1546  965 1516],[-0.00976562 -0.7578125  -0.0703125 ],[0.140625   2.06835938 0.12109375],[0. 0. 0.]
4,[ 3 43 47  3],[0.140625 2.015625 2.203125 0.140625],[0 0 0 0],[0. 0. 0. 0.],[1334 1021 1010 1058],[-0.0625     -0.0625     -0.7578125  -0.00976562],[0.12695312 2.015625   2.06835938 0.140625  ],[0. 0. 0. 0.]
6,[ 3 43 47  4  3  4],[0.140625 2.015625 2.203125 0.1875   0.140625 0.1875  ],[0 0 0 4 0 4],[0.         0.         0.         0.46828172 0.         0.46828172],[1053 1694 1042  864 1009  711],[-0.03515625 -0.12695312 -0.68945312  0.02929688  0.11523438  0.09960938],[0.13671875 2.01171875 2.09375    0.18554688 0.08203125 0.15820312],[0. 0. 0. 0. 0. 0.]
7,[ 3 43 47  4 51  4 51],[0.140625 2.015625 2.203125 0.1875   2.390625 0.1875   2.390625],[0 0 0 3 4 3 4],"[0.         0.         0.         0.35121129 0.46828172 0.35121129
 0.46828172]",[1659 1213 1118  919   30  792   25],"[-0.0390625  -0.0625     -0.68945312  0.07617188  0.97070312  0.00585938
  0.07421875]","[0.13476562 2.015625   2.09375    0.171875   2.18554688 0.1875
 2.390625  ]",[0. 0. 0. 0. 0. 0. 0.]
2,[43 47],[2.015625 2.203125],[0 0],[0. 0.],[ 864 1062],[-0.0625     -0.68945312],[2.015625 2.09375 ],[0. 0.]
2,[43 47],[2.015625 2.203125],[0 0],[0. 0.],[857 984],[ 0.        -0.7578125],[2.015625   2.06835938],[0. 0.]
2,[43 47],[2.015625 2.203125],[0 0],[0. 0.],[ 845 1056],[ 0.         -0.68945312],[2.015625 2.09375 ],[0. 0.]
3,[43 47 19],[2.015625 2.203125 0.890625],[ 0  0 -2],[ 0.          0.         -0.23414086],[ 788 1030  172],[ 0.         -0.7578125  -0.66796875],[2.015625   2.06835938 0.58984375],[0. 0. 0.]
6,[ 4 43 47  4  4  4],[0.1875   2.015625 2.203125 0.1875   0.1875   0.1875  ],[ 0  0  0 -2  0 -2],[ 0.          0.          0.         -0.23414086  0.         -0.23414086],[865 810 980 437 857 399],[-0.01171875  0.         -0.7578125  -0.01757812 -0.08203125  0.05273438],[0.1875     2.015625   2.06835938 0.1875     0.16796875 0.1796875 ],[0. 0. 0. 0. 0. 0.]
2,[4 4],[0.1875 0.1875],[-1 -1],[-0.11707043 -0.11707043],[1077 1074],[ 0.05859375 -0.01171875],[0.17773438 0.1875    ],[0. 0.]
4,[ 3 21  4  3],[0.140625 0.984375 0.1875   0.140625],[ 0  0 -1  0],[ 0.          0.         -0.11707043  0.        ],[1063  486 1376  799],[-0.01367188  0.92382812 -0.00585938  0.109375  ],[0.140625   0.34179688 0.1875     0.08789062],[0. 0. 0. 0.]
4,[ 3 21 47  3],[0.140625 0.984375 2.203125 0.140625],[0 0 0 0],[0. 0. 0. 0.],[1479  458  916 1464],[-0.08398438  0.92382812 -0.7578125   0.04492188],[0.11328125 0.34179688 2.06835938 0.1328125 ],[0. 0. 0. 0.]
6,[ 3 21 47 17  3 17],[0.140625 0.984375 2.203125 0.796875 0.140625 0.796875],[ 0  0  0 -2  0 -2],[ 0.          0.          0.         -0.23414086  0.         -0.23414086],[1955  514  855  229 1621  202],[-0.00390625  0.92382812 -0.7578125  -0.54882812 -0.06640625  0.74804688],[0.140625   0.34179688 2.06835938 0.578125   0.125      0.27734375],[0. 0. 0. 0. 0. 0.]
